date,dxy
2004-10-22,83.5306
2004-10-25,82.6529
2004-10-26,82.7586
2004-10-27,82.882
2004-10-28,82.577
2004-10-29,82.6304
2004-11-01,82.7567
2004-11-02,82.8917
2004-11-03,82.3158
2004-11-04,81.8989
2004-11-05,81.5016
2004-11-08,81.3845
2004-11-09,81.4358
2004-11-10,81.7393
2004-11-11,81.7393
2004-11-12,81.2237
2004-11-15,81.5543
2004-11-16,81.2026
2004-11-17,80.8475
2004-11-18,81.312
2004-11-19,80.5588
2004-11-22,80.4924
2004-11-23,80.406
2004-11-24,80.0042
2004-11-25,80.0042
2004-11-26,79.5074
2004-11-29,79.6807
2004-11-30,79.9112
2004-12-01,79.5853
2004-12-02,79.8535
2004-12-03,79.5722
2004-12-06,79.563
2004-12-07,79.6997
2004-12-08,80.8883
2004-12-09,80.9127
2004-12-10,81.1834
2004-12-13,80.8201
2004-12-14,81.2194
2004-12-15,80.2327
2004-12-16,80.944
2004-12-17,80.685
2004-12-20,80.44
2004-12-21,80.5701
2004-12-22,80.8079
2004-12-23,80.4283
2004-12-24,80.1578
2004-12-27,79.5166
2004-12-28,79.6092
2004-12-29,79.9202
2004-12-30,79.4022
2004-12-31,79.4917
2005-01-03,79.8474
2005-01-04,80.8997
2005-01-05,80.8111
2005-01-06,81.5378
2005-01-07,81.794
2005-01-10,81.2691
2005-01-11,80.8799
2005-01-12,80.0344
2005-01-13,80.3377
2005-01-14,81.0332
2005-01-17,81.0332
2005-01-18,81.218
2005-01-19,81.3368
2005-01-20,81.7878
2005-01-21,81.2199
2005-01-24,81.3044
2005-01-25,82.0588
2005-01-26,81.3126
2005-01-27,81.5777
2005-01-28,81.7495
2005-01-31,81.6728
2005-02-01,81.8581
2005-02-02,81.868
2005-02-03,82.1353
2005-02-04,82.2165
2005-02-07,82.9837
2005-02-08,82.9414
2005-02-09,82.9932
2005-02-10,82.4572
2005-02-11,82.4663
2005-02-14,81.8697
2005-02-15,81.7852
2005-02-16,82.1618
2005-02-17,81.6033
2005-02-18,81.6316
2005-02-21,81.6316
2005-02-22,80.9711
2005-02-23,81.3791
2005-02-24,81.5104
2005-02-25,81.4306
2005-02-28,80.8079
2005-03-01,81.3331
2005-03-02,81.5137
2005-03-03,81.7015
2005-03-04,80.9843
2005-03-07,81.1738
2005-03-08,80.3943
2005-03-09,80.037
2005-03-10,79.9934
2005-03-11,79.7956
2005-03-14,80.3988
2005-03-15,80.3425
2005-03-16,79.9089
2005-03-17,80.0817
2005-03-18,80.2693
2005-03-21,80.9449
2005-03-22,80.6059
2005-03-23,81.605
2005-03-24,81.8349
2005-03-25,81.9267
2005-03-28,82.373
2005-03-29,82.0713
2005-03-30,82.0031
2005-03-31,81.7542
2005-04-01,82.1452
2005-04-04,82.5411
2005-04-05,82.5226
2005-04-06,82.5263
2005-04-07,82.3739
2005-04-08,82.4016
2005-04-11,82.314
2005-04-12,82.821
2005-04-13,82.4378
2005-04-14,82.9988
2005-04-15,82.609
2005-04-18,82.3924
2005-04-19,82.1386
2005-04-20,81.9267
2005-04-21,81.9229
2005-04-22,81.7214
2005-04-25,81.9737
2005-04-26,82.2947
2005-04-27,82.361
2005-04-28,82.477
2005-04-29,82.3876
2005-05-02,82.6479
2005-05-03,82.5926
2005-05-04,82.2908
2005-05-05,82.1059
2005-05-06,82.4562
2005-05-09,82.4581
2005-05-10,82.3558
2005-05-11,82.8233
2005-05-12,83.291
2005-05-13,83.8571
2005-05-16,84.1203
2005-05-17,83.9982
2005-05-18,83.8442
2005-05-19,84.0159
2005-05-20,84.3726
2005-05-23,84.12
2005-05-24,84.1099
2005-05-25,84.1642
2005-05-26,84.5528
2005-05-27,84.1958
2005-05-30,84.1958
2005-05-31,84.6087
2005-06-01,84.9582
2005-06-02,84.8329
2005-06-03,84.9011
2005-06-06,84.5063
2005-06-07,84.4422
2005-06-08,84.297
2005-06-09,84.9702
2005-06-10,85.2809
2005-06-13,85.9512
2005-06-14,85.8225
2005-06-15,85.2189
2005-06-16,85.1776
2005-06-17,84.6356
2005-06-20,84.9396
2005-06-21,84.7975
2005-06-22,84.9702
2005-06-23,85.119
2005-06-24,85.125
2005-06-27,84.9173
2005-06-28,85.2506
2005-06-29,85.1883
2005-06-30,85.3391
2005-07-01,86.3208
2005-07-04,86.3208
2005-07-05,86.5441
2005-07-06,86.4387
2005-07-07,86.3062
2005-07-08,86.1602
2005-07-11,85.4313
2005-07-12,84.6939
2005-07-13,85.3098
2005-07-14,85.2966
2005-07-15,85.7985
2005-07-18,85.4631
2005-07-19,86.0215
2005-07-20,86.0524
2005-07-21,85.2643
2005-07-22,85.4554
2005-07-25,85.6216
2005-07-26,86.1034
2005-07-27,86.1035
2005-07-28,85.8527
2005-07-29,85.6004
2005-08-01,85.0772
2005-08-02,84.8613
2005-08-03,84.4516
2005-08-04,84.318
2005-08-05,84.7832
2005-08-08,84.5001
2005-08-09,84.6035
2005-08-10,84.3082
2005-08-11,83.6758
2005-08-12,83.4383
2005-08-15,83.6693
2005-08-16,83.7445
2005-08-17,84.1415
2005-08-18,84.8801
2005-08-19,84.9532
2005-08-22,84.2913
2005-08-23,84.2366
2005-08-24,84.1933
2005-08-25,83.7324
2005-08-26,83.8239
2005-08-29,84.2013
2005-08-30,84.4337
2005-08-31,83.8601
2005-09-01,83.2383
2005-09-02,82.9177
2005-09-05,82.9177
2005-09-06,83.0299
2005-09-07,83.1781
2005-09-08,83.2629
2005-09-09,82.8932
2005-09-12,83.6023
2005-09-13,83.71
2005-09-14,83.6035
2005-09-15,83.9874
2005-09-16,84.0558
2005-09-19,83.8931
2005-09-20,83.8878
2005-09-21,83.6995
2005-09-22,83.9532
2005-09-23,84.4116
2005-09-26,84.7066
2005-09-27,84.9566
2005-09-28,84.9532
2005-09-29,84.7873
2005-09-30,84.3793
2005-10-03,85.0643
2005-10-04,85.2087
2005-10-05,85.0954
2005-10-06,84.6841
2005-10-07,84.6745
2005-10-10,84.6745
2005-10-11,85.0695
2005-10-12,84.8909
2005-10-13,85.6143
2005-10-14,85.0608
2005-10-17,85.2145
2005-10-18,85.6449
