date,xlk_vs_spy,xly_vs_spy,xlu_vs_spy
2023-04-04,36.68974967577752,36.19791029436954,16.534122886436485
2023-04-05,36.36653581943081,35.549558390579,17.006869479882237
2023-04-06,36.43050905447347,35.418754124001076,17.060534226154108
2023-04-10,36.37362369082786,35.53868313761871,17.008862088327923
2023-04-11,36.02216147613004,35.58527775065899,17.01893976374109
2023-04-12,35.963729935056975,35.177061634603604,17.07143732385737
2023-04-13,36.152562459186875,35.482622681210245,16.85007376593223
2023-04-14,36.03985841051254,35.615574843621204,16.702225670368037
2023-04-17,36.041455283374404,35.73947915156786,16.734309320191333
2023-04-18,36.12901668235919,35.7741242364984,16.63648873759687
2023-04-19,36.03129376539334,35.74636596320085,16.76727676631091
2023-04-20,35.991065358842384,35.38894823735068,16.85442361852967
2023-04-21,35.846676370693835,35.752062105773895,16.88985929160602
2023-04-24,35.65179458594868,35.70995807381916,16.9570801929089
2023-04-25,35.453605200945624,35.56688337273444,17.213356973995275
2023-04-26,36.133643288159064,35.535166683153626,16.88099713126917
2023-04-27,36.18001503358308,35.76052957008801,16.75032128221915
2023-04-28,36.26331353833578,35.5492510759022,16.584521433895127
2023-05-01,36.32162884166446,35.233809053933726,16.63016533898101
2023-05-02,36.39129588160841,35.6708207574725,16.61474053159381
2023-05-03,36.33400323513554,35.63305720307828,16.683005735012987
2023-05-04,36.41793992051934,35.61079159775875,16.930368030015057
2023-05-05,36.65269127305334,35.67118241523883,16.729273198749485
2023-05-08,36.623540243252414,35.78281726995203,16.67393516499491
2023-05-09,36.502567347236756,35.93069379213005,16.725476358503883
2023-05-10,36.77606879011748,35.94525856848734,16.800290662468207
2023-05-11,36.6753208938927,36.17547861111785,16.657365394414388
2023-05-12,36.67484632765616,35.91681041813456,16.771544498165653
2023-05-15,36.85140795622382,35.839325924311765,16.50323236725503
2023-05-16,37.13833028641073,35.934186471663615,16.246191346739796
2023-05-17,37.18180285624834,36.2425643619199,15.99354574573128
2023-05-18,37.58080290055578,36.45492927509959,15.793239987596305
