date,close,volume,volume_ma20
2023-06-26,431.44,72823560.0,85275996.55
2023-06-27,436.17,72813699.0,84225182.75
2023-06-28,436.39,75635976.0,84396183.55
2023-06-29,438.11,67882304.0,82249709.75
2023-06-30,443.28,104964019.0,83054659.8
2023-07-03,443.79,32793378.0,80123020.15
2023-07-05,443.13,58418432.0,79770933.85
2023-07-06,439.66,80658302.0,80602740.2
2023-07-07,438.55,86134178.0,80640785.35
2023-07-10,439.66,62443501.0,80665318.3
2023-07-11,442.46,64463752.0,79606142.5
2023-07-12,446.02,91924527.0,80389533.7
2023-07-13,449.56,72425241.0,79215810.55
2023-07-14,449.28,69815823.0,77675997.7
2023-07-17,450.84,52680221.0,74794854.2
2023-07-18,454.19,80744448.0,73123784.15
2023-07-19,455.2,65891688.0,72610350.6
2023-07-20,452.18,70591642.0,72290820.15
2023-07-21,452.18,71275618.0,72322742.3
2023-07-24,454.2,54023382.0,70420184.55
2023-07-25,455.44,55191240.0,69538568.55
2023-07-26,455.51,71052885.0,69450527.85
2023-07-27,452.49,92194375.0,70278447.8
2023-07-28,456.92,80011790.0,70884922.1
2023-07-31,457.79,62040449.0,68738743.6
2023-08-01,456.48,55502199.0,69874184.65
2023-08-02,450.13,93933369.0,71649931.5
2023-08-03,448.84,64419692.0,70838001.0
2023-08-04,446.81,100128902.0,71537737.2
2023-08-07,450.71,58357464.0,71333435.35
2023-08-08,448.75,71361324.0,71678313.95
2023-08-09,445.75,78789575.0,71021566.35
2023-08-10,445.91,93005495.0,72050579.05
2023-08-11,445.65,68690902.0,71994333.0
2023-08-14,448.11,47867441.0,71753694.0
2023-08-15,442.89,75707534.0,71501848.3
2023-08-16,439.64,80107206.0,72212624.2
2023-08-17,436.29,95711315.0,73468607.85
2023-08-18,436.5,98851960.0,74847424.95
2023-08-21,439.34,68718957.0,75582203.7
2023-08-22,438.15,65062861.0,76075784.75
2023-08-23,443.03,68441021.0,75945191.55
2023-08-24,436.89,88517272.0,75761336.4
2023-08-25,439.97,102325103.0,76877002.05
2023-08-28,442.76,61595393.0,76854749.25
2023-08-29,449.16,83081916.0,78233735.1
2023-08-30,451.01,69053911.0,76989762.2
2023-08-31,450.35,66084563.0,77073005.75
2023-09-01,451.19,58944098.0,75013765.55
2023-09-05,449.24,55166210.0,74854202.85
2023-09-06,446.22,70758512.0,74824062.25
2023-09-07,444.85,70355426.0,74402354.8
2023-09-08,445.52,62068437.0,72855501.9
2023-09-11,448.45,60180118.0,72429962.7
2023-09-12,445.99,67565422.0,73414861.75
2023-09-13,446.51,60199272.0,72639448.65
2023-09-14,450.36,83430814.0,72805629.05
2023-09-15,443.37,111848859.0,73612506.25
2023-09-18,443.63,55752213.0,71457518.9
2023-09-19,442.71,66514648.0,71347303.45
2023-09-20,438.64,82562602.0,72222290.5
2023-09-21,431.39,104095826.0,74005030.75
2023-09-22,430.42,100829684.0,74620651.35
2023-09-25,432.23,70874534.0,73048122.9
2023-09-26,425.88,96168436.0,74776775.05
2023-09-27,426.05,104705847.0,75857971.6
2023-09-28,428.52,92258308.0,77018191.45
2023-09-29,427.48,115111319.0,79469529.25
2023-10-02,427.31,83798599.0,80712254.3
2023-10-03,421.59,103760607.0,83141974.15
2023-10-04,424.66,87452968.0,83976696.95
2023-10-05,424.5,70142744.0,83966062.85
2023-10-06,429.54,113273309.0,86526306.45
2023-10-09,432.29,80374362.0,87536018.65
2023-10-10,434.54,78607268.0,88088110.95
2023-10-11,436.32,62451736.0,88200734.15
2023-10-12,433.66,81154230.0,88086904.95
2023-10-13,431.5,95201132.0,87254518.6
2023-10-16,436.04,75433194.0,88238567.65
2023-10-17,436.02,75324708.0,88679070.65
2023-10-18,430.21,93559798.0,89228930.45
2023-10-19,426.43,121322957.0,90090287.0
2023-10-20,421.19,123919814.0,91244793.5
2023-10-23,420.46,92035095.0,92302821.55
2023-10-24,423.63,78564239.0,91422611.7
2023-10-25,417.55,94223198.0,90898479.25
2023-10-26,412.55,115156761.0,92043401.9
2023-10-27,410.68,107367081.0,91656190.0
2023-10-30,415.59,86562585.0,91794389.3
2023-10-31,418.2,79665150.0,90589616.45
2023-11-01,422.66,98067985.0,91120367.3
2023-11-02,430.76,94938909.0,92360175.55
2023-11-03,434.69,100167748.0,91704897.5
2023-11-06,435.69,67831659.0,91077762.35
2023-11-07,436.93,64256038.0,90360200.85
2023-11-08,437.25,61745970.0,90324912.55
2023-11-09,433.84,83174302.0,90425916.15
2023-11-10,440.61,89557964.0,90143757.75
2023-11-13,440.19,52236068.0,88983901.45
2023-11-14,448.73,97176929.0,90076512.5
2023-11-15,449.68,77327516.0,89264898.4
2023-11-16,450.23,66665790.0,86532040.05
2023-11-17,450.79,83193420.0,84495720.35
2023-11-20,454.26,70055574.0,83396744.3
2023-11-21,453.27,49244631.0,81930763.9
2023-11-22,455.02,59446457.0,80191926.85
2023-11-24,455.26,25649322.0,75716554.9
2023-11-27,454.48,50505985.0,72873500.1
2023-11-28,454.93,62115011.0,71651121.4
2023-11-29,454.61,63145992.0,70825163.5
2023-11-30,456.4,79752445.0,69909386.5
2023-12-01,459.1,89183400.0,69621611.05
2023-12-04,456.69,72430887.0,68234768.0
2023-12-05,456.6,69793469.0,68332858.5
2023-12-06,454.76,69124550.0,68576284.1
2023-12-07,458.23,66995446.0,68838757.9
2023-12-08,460.2,83193947.0,68839740.15
2023-12-11,461.99,65002244.0,67611954.15
2023-12-12,464.1,68327617.0,68416531.6
2023-12-13,470.5,93277960.0,68221583.15
2023-12-14,472.01,119026023.0,70306508.5
2023-12-15,469.33,141553573.0,74050897.65
2023-12-18,471.97,70375047.0,73409979.0
2023-12-19,474.84,55761791.0,72695289.85
2023-12-20,468.26,102920959.0,75379106.25
2023-12-21,472.7,86667465.0,76740156.65
2023-12-22,473.65,67160332.0,78815707.15
2023-12-26,475.65,55386952.0,79059755.5
2023-12-27,476.51,68000311.0,79354020.5
2023-12-28,476.69,77158109.0,80054626.35
2023-12-29,475.31,122283086.0,82181158.4
2024-01-02,472.65,123007788.0,83872377.8
2024-01-03,468.79,103585865.0,85430126.7
2024-01-04,467.28,84232111.0,86152058.8
2024-01-05,467.92,86118879.0,87001775.25
2024-01-08,474.6,74879049.0,87395955.4
2024-01-09,473.88,65931439.0,86532830.0
2024-01-10,476.56,67310640.0,86648249.8
2024-01-11,476.35,77940658.0,87128901.85
2024-01-12,476.68,58026382.0,85366322.95
2024-01-16,474.93,85014870.0,83665765.3
2024-01-17,472.29,68843739.0,80030273.6
2024-01-18,476.49,91856248.0,81104333.65
