date,signal_raw,signal_smoothed,position,p_down,p_flat,p_up,pred_label,true_label
2024-02-16,0.024488529373356882,0.010023846049977104,0.0,0.3578604166294091,0.25979063736782537,0.382348946002766,2,2
2024-02-20,0.1475095252272015,0.05125688530554014,0.5,0.31291256401591777,0.22666534674096328,0.4604220892431193,2,2
2024-02-21,0.1192549612433374,0.05143818880313232,0.5,0.3230683882311373,0.23460826229438855,0.4423233494744747,2,2
2024-02-22,0.010901985407851367,0.0504413694665269,0.5,0.35339417474309753,0.2823096651059539,0.3642961601509489,2,1
2024-02-23,-0.03715729062222295,0.05299954212590484,0.5,0.3715367308200434,0.2940838289821365,0.33437944019782045,0,2
2024-02-26,-0.030427850468564777,0.04201626615752051,0.5,0.3674257595996837,0.29557633126919763,0.33699790913111893,0,2
2024-02-27,-0.033764953955410015,0.005761370320998205,0.5,0.3634959171443567,0.30677311966669674,0.3297309631889467,0,1
2024-02-28,-0.056086378738929576,-0.02930689767545519,0.5,0.37643902122489253,0.3032083362891448,0.32035264248596296,0,1
2024-02-29,-0.09565420515900364,-0.05061813578882619,0.0,0.3927001608930624,0.3102538833728783,0.2970459557340588,0,2
2024-03-01,-0.0872660335004562,-0.06063988436447284,0.0,0.3849734969383372,0.31731903962378183,0.297707463437881,0,0
2024-03-04,-0.060153872573354195,-0.06658508878543072,0.0,0.38040315728762875,0.2993475579980966,0.32024928471427455,0,0
2024-03-05,0.036803413363873494,-0.052471415321574025,0.0,0.34802049918855105,0.26715558825902463,0.38482391255242454,2,2
2024-03-06,0.08226135055754041,-0.024801869462280024,0.0,0.3251692491861893,0.267400151070081,0.4074305997437297,2,2
2024-03-07,0.09712350325304697,0.013753672220130098,0.0,0.3129389918950649,0.2769985129568231,0.4100624951481119,2,0
2024-03-08,0.15747464178352,0.06270180727692534,0.5,0.2910360634753852,0.26045323126571,0.4485107052589052,2,1
2024-03-11,0.16234775331068085,0.10720213245373236,0.5,0.3070039235979344,0.22364439949345052,0.46935167690861523,2,1
2024-03-12,0.03665285567880722,0.1071720209167191,0.8,0.32825960537058,0.30682793358003274,0.36491246104938724,2,1
2024-03-13,0.06800259901626643,0.1043202706084643,0.8,0.3139174211370276,0.30416255870967845,0.381920020153294,2,2
2024-03-14,0.09073513749123646,0.10304259745610218,0.8,0.31698344582174487,0.27529797086527397,0.40771858331298133,2,2
2024-03-15,0.11539802405387761,0.09462727391017371,0.8,0.3026753397755299,0.2792512963950627,0.4180733638294075,2,2
2024-03-18,0.07302977464462745,0.07676367817696303,0.5,0.3188296747520322,0.2893108758513082,0.3918594493966597,2,2
2024-03-19,-0.002159215426190686,0.06900126395596345,0.5,0.34544861757244094,0.3112619802813091,0.34328940214625026,0,2
2024-03-20,-0.023511092030636338,0.0506985257465829,0.5,0.34729252139756767,0.328926049235501,0.32378142936693133,0,1
2024-03-21,-0.03928306348035393,0.024694885552264824,0.5,0.3479438903405768,0.3433952827992006,0.3086608268602229,0,1
2024-03-22,-0.08033467300085517,-0.014451653858681735,0.5,0.3620742468056507,0.3561861793895539,0.28173957380479553,0,1
2024-03-25,-0.1073804515454666,-0.050533699096700545,0.0,0.382642077171763,0.34209629720194085,0.2752616256262964,0,0
2024-03-26,-0.11390096510876596,-0.0728820490332156,0.0,0.3788661065064235,0.3561687520959192,0.26496514139765753,0,1
2024-03-27,-0.10841995015208206,-0.08986382065750474,0.0,0.3683784725813483,0.3716630049893857,0.25995852242926626,1,0
2024-03-28,-0.11472938717698294,-0.10495308539683054,0.0,0.3760692117836443,0.36259096360969467,0.26133982460666133,0,1
2024-04-01,-0.16348203139907097,-0.1215825570764737,0.0,0.4223209592488953,0.3188401129012806,0.2588389278498243,0,0
2024-04-02,-0.041560738085648474,-0.10841861438451009,0.0,0.39933810955218674,0.24288451898127433,0.35777737146653826,0,1
2024-04-03,-0.05117965063477864,-0.09587435148971261,0.0,0.3816255710855377,0.2879285084637032,0.33044592045075905,0,1
2024-04-04,0.07505509799570914,-0.059179341860154375,0.0,0.35812628263218144,0.2086923367399279,0.4331813806278906,2,2
2024-04-05,0.05443948173066304,-0.02534556807862518,0.0,0.36794881412956937,0.20966289001019775,0.4223882958602324,2,1
2024-04-08,0.04854362370168036,0.017059562941525087,0.0,0.3727685344026942,0.2059193074929312,0.42131215810437456,2,0
2024-04-09,0.03981671944644366,0.03333505444794351,0.5,0.3680071561376845,0.22416896827818733,0.40782387558412814,2,0
2024-04-10,0.008351397783642134,0.04524126413162767,0.5,0.3933992614867718,0.20485007924281387,0.4017506592704139,2,0
2024-04-11,-0.0365406219371911,0.02292212014504762,0.5,0.40825740966337504,0.22002580261044122,0.37171678772618394,0,0
2024-04-12,0.0008722794656064181,0.012208679692036295,0.5,0.39526586498429067,0.2085959905658118,0.3961381444498971,2,0
